X	Y	Ex	Ey
 -0.300000000000E-01 -0.300000000000E-02   1269.14016409      -1445758.43291    
 -0.300000000000E-01 -0.200000000000E-02   872.901322419      -1445572.25919    
 -0.300000000000E-01 -0.100000000000E-02   406.775048757      -1445433.84278    
 -0.300000000000E-01  0.555111512313E-18  -42.0183113654      -1445395.57716    
 -0.300000000000E-01  0.100000000000E-02  -515.235401995      -1445465.78652    
 -0.300000000000E-01  0.200000000000E-02  -912.746066434      -1445563.96296    
 -0.300000000000E-01  0.300000000000E-02  -1325.39965538      -1445731.25981    
 -0.300000000000E-01  0.400000000000E-02  -1704.29900553      -1445947.73682    
 -0.300000000000E-01  0.500000000000E-02  -2081.09032622      -1446292.22953    
 -0.300000000000E-01  0.600000000000E-02  -2431.32620157      -1446703.85556    
 -0.300000000000E-01  0.700000000000E-02  -2688.55758841      -1447169.75922    
 -0.300000000000E-01  0.800000000000E-02  -2905.28908131      -1447718.77775    
 -0.300000000000E-01  0.900000000000E-02  -2973.38245236      -1448313.59011    
 -0.300000000000E-01  0.100000000000E-01  -2909.57614977      -1448814.22168    
 -0.300000000000E-01  0.110000000000E-01  -2832.19138628      -1449374.81088    
 -0.300000000000E-01  0.120000000000E-01  -2551.71230106      -1450054.02676    
 -0.300000000000E-01  0.130000000000E-01  -2212.47996171      -1450582.08587    
 -0.300000000000E-01  0.140000000000E-01  -1858.41824596      -1451067.32867    
 -0.300000000000E-01  0.150000000000E-01  -1458.59487948      -1451724.32195    
 -0.300000000000E-01  0.160000000000E-01  -678.781433952      -1452235.13587    
 -0.300000000000E-01  0.170000000000E-01   74.9279390541      -1452731.18270    
 -0.300000000000E-01  0.180000000000E-01   1024.67494480      -1452853.85131    
 -0.300000000000E-01  0.190000000000E-01   2080.56047188      -1452975.54764    
 -0.300000000000E-01  0.200000000000E-01   2876.61306295      -1452993.87360    
 -0.300000000000E-01  0.210000000000E-01   3679.85429329      -1452696.30226    
 -0.300000000000E-01  0.220000000000E-01   4895.59496992      -1452377.48589    
 -0.300000000000E-01  0.230000000000E-01   6208.51986360      -1451994.82226    
 -0.300000000000E-01  0.240000000000E-01   6810.74723643      -1451080.30259    
 -0.300000000000E-01  0.250000000000E-01   7412.97460926      -1450165.78292    
 -0.300000000000E-01  0.260000000000E-01   8313.94779987      -1448954.17005    
 -0.300000000000E-01  0.270000000000E-01   8653.00764635      -1447636.16977    
 -0.300000000000E-01  0.280000000000E-01   8995.69920751      -1446512.65430    
 -0.300000000000E-01  0.290000000000E-01   9426.34359792      -1445504.08098    
 -0.300000000000E-01  0.300000000000E-01   9159.60116192      -1444315.54537    
 -0.300000000000E-01  0.310000000000E-01   8992.40741882      -1442399.52622    
 -0.300000000000E-01  0.320000000000E-01   8856.01362256      -1440408.78315    
 -0.300000000000E-01  0.330000000000E-01   7876.69213782      -1439616.04942    
 -0.300000000000E-01  0.340000000000E-01   6598.88029738      -1438627.78159    
 -0.300000000000E-01  0.350000000000E-01   5084.44010202      -1437633.80385    
 -0.300000000000E-01  0.360000000000E-01   3714.10682859      -1436883.61166    
 -0.300000000000E-01  0.370000000000E-01   2014.65714936      -1436194.17305    
 -0.300000000000E-01  0.380000000000E-01   767.411732384      -1435820.75540    
 -0.300000000000E-01  0.390000000000E-01 -0.462757601500E-02 -0.709455459617E-01
 -0.300000000000E-01  0.400000000000E-01 -0.415566734659E-02 -0.647169304063E-01
 -0.300000000000E-01  0.410000000000E-01 -0.529004555219E-02 -0.464410618563E-01
 -0.300000000000E-01  0.420000000000E-01 -0.546202027068E-02 -0.284151435874E-01
 -0.300000000000E-01  0.430000000000E-01 -0.397200209261E-02 -0.110528793175E-01
 -0.300000000000E-01  0.440000000000E-01 -0.391665181825E-02  0.284010601125E-02
 -0.300000000000E-01  0.450000000000E-01 -0.290948983086E-02  0.823311001230E-02
 -0.300000000000E-01  0.460000000000E-01 -0.190232784347E-02  0.136261140134E-01
 -0.300000000000E-01  0.470000000000E-01 -0.151420434482E-03  0.233689440551E-01
 -0.300000000000E-01  0.480000000000E-01 -0.220438311976E-02  0.397544903674E-01
 -0.300000000000E-01  0.490000000000E-01 -0.425734580504E-02  0.561400366798E-01
 -0.300000000000E-01  0.500000000000E-01 -0.111854970110E-01  0.793544620216E-01
 -0.300000000000E-01  0.510000000000E-01  -1116.40822658       819642.436215    
 -0.300000000000E-01  0.520000000000E-01  -6899.28200106       820416.683021    
 -0.300000000000E-01  0.530000000000E-01  -12389.2064628       819569.039430    
 -0.300000000000E-01  0.540000000000E-01  -18443.4230889       818387.090531    
 -0.300000000000E-01  0.550000000000E-01  -23855.7876174       817412.252297    
 -0.300000000000E-01  0.560000000000E-01  -29235.2821896       816150.918372    
 -0.300000000000E-01  0.570000000000E-01  -35004.2991874       814241.861364    
 -0.290000000000E-01 -0.300000000000E-02   1003.05824652      -1446186.02774    
 -0.290000000000E-01 -0.200000000000E-02   674.084800018      -1446008.68499    
 -0.290000000000E-01 -0.100000000000E-02   319.342334065      -1445900.65713    
 -0.290000000000E-01  0.555111512313E-18  -39.6324083319      -1445873.28359    
 -0.290000000000E-01  0.100000000000E-02  -390.909664174      -1445896.63219    
 -0.290000000000E-01  0.200000000000E-02  -749.163613256      -1445983.29518    
 -0.290000000000E-01  0.300000000000E-02  -1047.80262637      -1446158.37700    
 -0.290000000000E-01  0.400000000000E-02  -1371.79015082      -1446377.09139    
 -0.290000000000E-01  0.500000000000E-02  -1668.87720659      -1446631.30763    
 -0.290000000000E-01  0.600000000000E-02  -1940.20267256      -1446988.70700    
 -0.290000000000E-01  0.700000000000E-02  -2143.28871226      -1447373.85963    
 -0.290000000000E-01  0.800000000000E-02  -2314.71600003      -1447799.87571    
 -0.290000000000E-01  0.900000000000E-02  -2376.92569315      -1448305.16186    
 -0.290000000000E-01  0.100000000000E-01  -2370.69214925      -1448772.97461    
 -0.290000000000E-01  0.110000000000E-01  -2319.29549551      -1449250.53299    
 -0.290000000000E-01  0.120000000000E-01  -2112.62963248      -1449781.20544    
 -0.290000000000E-01  0.130000000000E-01  -1785.18366261      -1450319.76647    
 -0.290000000000E-01  0.140000000000E-01  -1419.71188309      -1450767.70241    
 -0.290000000000E-01  0.150000000000E-01  -999.769353779      -1451160.69983    
 -0.290000000000E-01  0.160000000000E-01  -279.378918646      -1451691.21944    
 -0.290000000000E-01  0.170000000000E-01   404.576785264      -1451929.60678    
 -0.290000000000E-01  0.180000000000E-01   1205.10283608      -1452053.64234    
 -0.290000000000E-01  0.190000000000E-01   2032.76475138      -1452084.54356    
 -0.290000000000E-01  0.200000000000E-01   2750.52172829      -1452064.38095    
 -0.290000000000E-01  0.210000000000E-01   3561.08021087      -1451743.06407    
 -0.290000000000E-01  0.220000000000E-01   4371.63869345      -1451421.74719    
 -0.290000000000E-01  0.230000000000E-01   5211.56701214      -1450860.65908    
 -0.290000000000E-01  0.240000000000E-01   5842.26346042      -1449994.11332    
 -0.290000000000E-01  0.250000000000E-01   6508.15431695      -1449186.87447    
 -0.290000000000E-01  0.260000000000E-01   7128.56795977      -1448411.91064    
 -0.290000000000E-01  0.270000000000E-01   7381.87720174      -1447473.58285    
 -0.290000000000E-01  0.280000000000E-01   7812.52159215      -1446465.00953    
 -0.290000000000E-01  0.290000000000E-01   8243.16598256      -1445456.43620    
 -0.290000000000E-01  0.300000000000E-01   7851.14439524      -1444235.57202    
 -0.290000000000E-01  0.310000000000E-01   7418.36775413      -1442963.88496    
 -0.290000000000E-01  0.320000000000E-01   7061.71648688      -1441286.18239    
 -0.290000000000E-01  0.330000000000E-01   6074.88889910      -1440504.11671    
 -0.290000000000E-01  0.340000000000E-01   5353.83422331      -1439683.67456    
 -0.290000000000E-01  0.350000000000E-01   4098.00271749      -1439010.10312    
 -0.290000000000E-01  0.360000000000E-01   2782.74193578      -1438224.50252    
 -0.290000000000E-01  0.370000000000E-01   1697.29120352      -1437833.16107    
 -0.290000000000E-01  0.380000000000E-01   560.646610749      -1437582.49053    
 -0.290000000000E-01  0.390000000000E-01 -0.161424782149E-01 -0.738542468899E-01
 -0.290000000000E-01  0.400000000000E-01 -0.117777516321E-01 -0.634456241776E-01
 -0.290000000000E-01  0.410000000000E-01 -0.815634491088E-02 -0.457634258144E-01
 -0.290000000000E-01  0.420000000000E-01 -0.762973042781E-02 -0.246518886230E-01
 -0.290000000000E-01  0.430000000000E-01 -0.588896447208E-02 -0.754642193130E-02
 -0.290000000000E-01  0.440000000000E-01 -0.353611184996E-02  0.450227529612E-02
 -0.290000000000E-01  0.450000000000E-01 -0.265318069771E-02  0.991113989844E-02
 -0.290000000000E-01  0.460000000000E-01 -0.177024954546E-02  0.153200045008E-01
 -0.290000000000E-01  0.470000000000E-01 -0.569477287057E-03  0.220022483209E-01
 -0.290000000000E-01  0.480000000000E-01 -0.276864895126E-02  0.381753731441E-01
 -0.290000000000E-01  0.490000000000E-01 -0.503005383669E-02  0.544710549708E-01
 -0.290000000000E-01  0.500000000000E-01 -0.229026537275E-02  0.829625616543E-01
 -0.290000000000E-01  0.510000000000E-01  -2586.58123211       814705.113408    
 -0.290000000000E-01  0.520000000000E-01  -6239.14644014       815014.343009    
 -0.290000000000E-01  0.530000000000E-01  -11922.7626358       813865.576834    
 -0.290000000000E-01  0.540000000000E-01  -17288.2881446       812865.899503    
 -0.290000000000E-01  0.550000000000E-01  -22428.0538172       811955.010092    
 -0.290000000000E-01  0.560000000000E-01  -27574.5195066       811081.171666    
 -0.290000000000E-01  0.570000000000E-01  -32767.7835439       809440.304614    
 -0.280000000000E-01 -0.300000000000E-02   881.100813323      -1446426.29840    
 -0.280000000000E-01 -0.200000000000E-02   586.071578962      -1446292.92281    
 -0.280000000000E-01 -0.100000000000E-02   295.954175811      -1446195.12822    
 -0.280000000000E-01  0.555111512313E-18  -19.6880515332      -1446166.37173    
 -0.280000000000E-01  0.100000000000E-02  -341.964348815      -1446197.73645    
 -0.280000000000E-01  0.200000000000E-02  -641.544606389      -1446265.45970    
 -0.280000000000E-01  0.300000000000E-02  -905.948053152      -1446412.91301    
 -0.280000000000E-01  0.400000000000E-02  -1177.61771510      -1446637.43265    
 -0.280000000000E-01  0.500000000000E-02  -1402.33531465      -1446861.42065    
 -0.280000000000E-01  0.600000000000E-02  -1600.62950286      -1447166.63841    
 -0.280000000000E-01  0.700000000000E-02  -1685.65913497      -1447518.56001    
 -0.280000000000E-01  0.800000000000E-02  -1773.56416428      -1447877.78212    
 -0.280000000000E-01  0.900000000000E-02  -1827.99135882      -1448243.00847    
 -0.280000000000E-01  0.100000000000E-01  -1803.18142364      -1448659.18997    
 -0.280000000000E-01  0.110000000000E-01  -1742.11097062      -1449082.36920    
 -0.280000000000E-01  0.120000000000E-01  -1570.77600441      -1449562.80679    
 -0.280000000000E-01  0.130000000000E-01  -1305.38020867      -1449981.91194    
 -0.280000000000E-01  0.140000000000E-01  -891.225057512      -1450393.14302    
 -0.280000000000E-01  0.150000000000E-01  -435.320806278      -1450750.90212    
 -0.280000000000E-01  0.160000000000E-01   65.6242712838      -1451051.44515    
 -0.280000000000E-01  0.170000000000E-01   702.895864366      -1451251.93202    
 -0.280000000000E-01  0.180000000000E-01   1270.76441069      -1451302.31056    
 -0.280000000000E-01  0.190000000000E-01   1913.48937807      -1451175.30208    
 -0.280000000000E-01  0.200000000000E-01   2631.74764587      -1451111.14275    
 -0.280000000000E-01  0.210000000000E-01   3401.04283752      -1450877.53086    
 -0.280000000000E-01  0.220000000000E-01   4131.00304828      -1450727.52534    
 -0.280000000000E-01  0.230000000000E-01   4635.84088343      -1450436.31487    
 -0.280000000000E-01  0.240000000000E-01   5301.73173995      -1449629.07602    
 -0.280000000000E-01  0.250000000000E-01   5967.62259648      -1448821.83717    
 -0.280000000000E-01  0.260000000000E-01   6471.02648222      -1448134.72766    
 -0.280000000000E-01  0.270000000000E-01   6455.37200577      -1447324.26566    
