X	Y	Ex	Ey
 -0.300000000000E-01 -0.300000000000E-01   9725.42932352      -1461595.62245    
 -0.300000000000E-01 -0.290000000000E-01   11307.8357721      -1460672.62917    
 -0.300000000000E-01 -0.280000000000E-01   12862.7078540      -1459494.95823    
 -0.300000000000E-01 -0.270000000000E-01   14417.5799358      -1458317.28729    
 -0.300000000000E-01 -0.260000000000E-01   15715.0075193      -1457230.53612    
 -0.300000000000E-01 -0.250000000000E-01   16834.5294089      -1455477.52706    
 -0.300000000000E-01 -0.240000000000E-01   17983.2293620      -1453631.04856    
 -0.300000000000E-01 -0.230000000000E-01   19131.9293151      -1451784.57006    
 -0.300000000000E-01 -0.220000000000E-01   19618.7185109      -1450266.42650    
 -0.300000000000E-01 -0.210000000000E-01   20115.3713309      -1448538.70980    
 -0.300000000000E-01 -0.200000000000E-01   20651.0840987      -1446581.35584    
 -0.300000000000E-01 -0.190000000000E-01   20931.3787897      -1444806.94963    
 -0.300000000000E-01 -0.180000000000E-01   21008.8123358      -1443177.84633    
 -0.300000000000E-01 -0.170000000000E-01   20810.3172409      -1441419.20225    
 -0.300000000000E-01 -0.160000000000E-01   20611.6308935      -1439660.46839    
 -0.300000000000E-01 -0.150000000000E-01   20365.3605062      -1437929.48765    
 -0.300000000000E-01 -0.140000000000E-01   19825.1039743      -1435959.40003    
 -0.300000000000E-01 -0.130000000000E-01   19244.3412433      -1434112.34946    
 -0.300000000000E-01 -0.120000000000E-01   18429.7745017      -1432469.54027    
 -0.300000000000E-01 -0.110000000000E-01   17447.2605228      -1430894.33432    
 -0.300000000000E-01 -0.100000000000E-01   16492.6979873      -1429404.68547    
 -0.300000000000E-01 -0.900000000000E-02   15528.3622017      -1427848.86070    
 -0.300000000000E-01 -0.800000000000E-02   14103.3135071      -1426538.85748    
 -0.300000000000E-01 -0.700000000000E-02   12597.2594643      -1425335.81469    
 -0.300000000000E-01 -0.600000000000E-02   10708.8981954      -1424451.42037    
 -0.300000000000E-01 -0.500000000000E-02   8984.88281376      -1423728.59563    
 -0.300000000000E-01 -0.400000000000E-02   7159.96747581      -1423145.91002    
 -0.300000000000E-01 -0.300000000000E-02   5243.48102148      -1422728.17597    
 -0.300000000000E-01 -0.200000000000E-02   3575.05750238      -1422383.08923    
 -0.300000000000E-01 -0.100000000000E-02   1732.69910438      -1422063.89276    
 -0.300000000000E-01   0.00000000000      -114.573761140      -1422123.44449    
 -0.300000000000E-01  0.100000000000E-02  -1790.31832608      -1422075.03411    
 -0.300000000000E-01  0.200000000000E-02  -3707.52786411      -1422319.75890    
 -0.300000000000E-01  0.300000000000E-02  -5621.83131486      -1422744.47986    
 -0.300000000000E-01  0.400000000000E-02  -7309.96799977      -1423200.89905    
 -0.300000000000E-01  0.500000000000E-02  -9155.89281874      -1423969.10682    
 -0.300000000000E-01  0.600000000000E-02  -10804.4718101      -1424820.75228    
 -0.300000000000E-01  0.700000000000E-02  -12352.1835547      -1425810.83661    
 -0.300000000000E-01  0.800000000000E-02  -13904.3689767      -1426702.29291    
 -0.300000000000E-01  0.900000000000E-02  -14926.7881420      -1427862.74981    
 -0.300000000000E-01  0.100000000000E-01  -16211.0715715      -1429158.50906    
 -0.300000000000E-01  0.110000000000E-01  -17578.1501359      -1430623.29253    
 -0.300000000000E-01  0.120000000000E-01  -18462.4251465      -1432285.53459    
 -0.300000000000E-01  0.130000000000E-01  -19144.1744833      -1434124.73959    
 -0.300000000000E-01  0.140000000000E-01  -19721.4463160      -1435993.63763    
 -0.300000000000E-01  0.150000000000E-01  -20048.8385786      -1437718.73523    
 -0.300000000000E-01  0.160000000000E-01  -20326.3077104      -1439458.47324    
 -0.300000000000E-01  0.170000000000E-01  -20590.2255187      -1441166.06864    
 -0.300000000000E-01  0.180000000000E-01  -20672.2518986      -1442936.00710    
 -0.300000000000E-01  0.190000000000E-01  -20482.7076748      -1445042.22525    
 -0.300000000000E-01  0.200000000000E-01  -20336.9088909      -1447220.81948    
 -0.300000000000E-01  0.210000000000E-01  -19919.8303606      -1449117.70940    
 -0.300000000000E-01  0.220000000000E-01  -19443.4608859      -1450809.05854    
 -0.300000000000E-01  0.230000000000E-01  -18954.3225992      -1452482.60250    
 -0.300000000000E-01  0.240000000000E-01  -18197.3093020      -1453864.14714    
 -0.300000000000E-01  0.250000000000E-01  -16817.3491688      -1455538.76696    
 -0.300000000000E-01  0.260000000000E-01  -15437.3890356      -1457213.38678    
 -0.300000000000E-01  0.270000000000E-01  -14487.6924633      -1458411.12369    
 -0.300000000000E-01  0.280000000000E-01  -13064.5345737      -1459209.16107    
 -0.300000000000E-01  0.290000000000E-01  -11395.8660318      -1460250.97256    
 -0.300000000000E-01  0.300000000000E-01  -9653.23386186      -1461442.46601    
 -0.290000000000E-01 -0.300000000000E-01   8719.33331685      -1459965.80962    
 -0.290000000000E-01 -0.290000000000E-01   10310.3668037      -1459122.61166    
 -0.290000000000E-01 -0.280000000000E-01   11826.2663759      -1458015.85817    
 -0.290000000000E-01 -0.270000000000E-01   13233.8161056      -1457106.26656    
 -0.290000000000E-01 -0.260000000000E-01   14456.7692524      -1455972.87406    
