x  y   Ex  Ey
-3.162893081761006253e-02    -3.164150943396226712e-02    -2.008491601305940640e+04    -1.683362005312320776e+06
-3.028301886792451880e-02    -3.164150943396226712e-02    -1.005671570561560293e+04    -1.690668793032210553e+06
-2.893710691823898895e-02    -3.164150943396226712e-02    -1.005671570561560293e+04    -1.690668793032210553e+06
-2.759119496855345910e-02    -3.164150943396226712e-02    -4.815914260882324925e+03    -1.696140294856793247e+06
-2.624528301886791537e-02    -3.164150943396226712e-02    -2.535081240707793313e+03    -1.700332624192948453e+06
-2.489937106918238552e-02    -3.164150943396226712e-02    -1.287792351694315357e+03    -1.701809096994288964e+06
-2.355345911949685567e-02    -3.164150943396226712e-02    -7.438123656429988841e+02    -1.704595386991254985e+06
-2.220754716981131194e-02    -3.164150943396226712e-02    5.545745627064529799e+02    -1.703951091529577039e+06
-2.086163522012578209e-02    -3.164150943396226712e-02    1.381672651131697648e+03    -1.706131477897192584e+06
-1.951572327044025223e-02    -3.164150943396226712e-02    1.947047111775917756e+03    -1.708023661821378628e+06
-1.816981132075470851e-02    -3.164150943396226712e-02    1.947047111775917756e+03    -1.708023661821378628e+06
-1.682389937106917865e-02    -3.164150943396226712e-02    2.450495729655746345e+03    -1.709484933575273724e+06
-1.547798742138364880e-02    -3.164150943396226712e-02    3.044518757349761927e+03    -1.709938633662294596e+06
-1.413207547169810507e-02    -3.164150943396226712e-02    2.887343884259144033e+03    -1.710503294224904850e+06
-1.278616352201257522e-02    -3.164150943396226712e-02    3.016829722567275439e+03    -1.711357852550216252e+06
-1.144025157232704537e-02    -3.164150943396226712e-02    3.248409698096480497e+03    -1.711881551639829064e+06
-1.009433962264150164e-02    -3.164150943396226712e-02    2.884189355951618836e+03    -1.712265627720789984e+06
-8.748427672955971790e-03    -3.164150943396226712e-02    2.956438531057443015e+03    -1.712747906696359394e+06
-7.402515723270441939e-03    -3.164150943396226712e-02    3.060076462779906706e+03    -1.713559775828944752e+06
-6.056603773584898209e-03    -3.164150943396226712e-02    2.764487580830774732e+03    -1.714539024356380338e+06
-4.710691823899368358e-03    -3.164150943396226712e-02    2.764487580830774732e+03    -1.714539024356380338e+06
-3.364779874213838506e-03    -3.164150943396226712e-02    2.329371378317237486e+03    -1.715795553828010336e+06
-2.018867924528294777e-03    -3.164150943396226712e-02    9.927681779842605465e+02    -1.716118248436111026e+06
-6.729559748427649257e-04    -3.164150943396226712e-02    9.927681779842605465e+02    -1.716118248436111026e+06
6.729559748427788035e-04    -3.164150943396226712e-02    -9.479962353244467295e+02    -1.716816735749579035e+06
2.018867924528308655e-03    -3.164150943396226712e-02    -2.017971822497667063e+03    -1.716629740036132978e+06
3.364779874213838506e-03    -3.164150943396226712e-02    -2.237631121466490640e+03    -1.715605766366611933e+06
4.710691823899382236e-03    -3.164150943396226712e-02    -2.825922408526707386e+03    -1.714530865990161663e+06
6.056603773584912087e-03    -3.164150943396226712e-02    -2.825922408526707386e+03    -1.714530865990161663e+06
7.402515723270441939e-03    -3.164150943396226712e-02    -3.044329538839503130e+03    -1.713521711841919459e+06
8.748427672955985668e-03    -3.164150943396226712e-02    -3.360818206841692245e+03    -1.713052811472362606e+06
1.009433962264151552e-02    -3.164150943396226712e-02    -3.069496813658830888e+03    -1.712518032434438588e+06
1.144025157232704537e-02    -3.164150943396226712e-02    -3.143240364788339775e+03    -1.711530979622057639e+06
1.278616352201258910e-02    -3.164150943396226712e-02    -2.641826591787551024e+03    -1.711394442425565096e+06
1.413207547169811895e-02    -3.164150943396226712e-02    -2.613147774172852223e+03    -1.710827817474505631e+06
1.547798742138364880e-02    -3.164150943396226712e-02    -2.704011968769612849e+03    -1.709592925883474527e+06
1.682389937106919253e-02    -3.164150943396226712e-02    -2.704011968769612849e+03    -1.709592925883474527e+06
