x(m)  Ex_total(V/m)  Ey_total(V/m)  Ex_dipole(V/m)  Ey_dipole(V/m)  Ex_quadrupole(V/m)  Ey_quadrupole(V/m)  Ex_sextupole(V/m)  Ey_sextupole(V/m)  Ex_octupole(V/m)  Ey_octupole(V/m)
-2.999999999999999889e-02 -4.201831136540000244e+01 -1.445395577160000103e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 -4.740118912321536918e+05 -2.758811368736007135e-11 -1.172663624804979858e-11 -5.132921686270135251e+04 -1.624442204682267620e+05 3.125701370389191914e-11
-2.900000000000000147e-02 -3.963240833190000245e+01 -1.445873283589999890e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 -4.582114948577486211e+05 -2.696087596199943397e-11 -1.089668196536235783e-11 -4.796430153503537440e+04 -1.467352627036882623e+05 2.795346735480439841e-11
-2.800000000000000058e-02 -1.968805153319999945e+01 -1.446166371730000013e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 -4.424110984833434341e+05 -2.633363823663879336e-11 -1.009700812458887845e-11 -4.471345113373095955e+04 -1.320731676932783157e+05 2.488942883805132015e-11
-2.699999999999999969e-02 -2.474117637639999856e+01 -1.446454001519999932e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 -4.266107021089383052e+05 -2.570640051127815275e-11 -9.327614725729358807e-12 -4.157666565878809342e+04 -1.184218367213373131e+05 2.205594826932315695e-11
-2.599999999999999881e-02 -3.369688514700000326e+01 -1.446690951210000087e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 -4.108103057345331763e+05 -2.507916278591751214e-11 -8.588501768783803756e-12 -3.855394511020679056e+04 -1.057451710722056887e+05 1.944407576431035875e-11
-2.500000000000000139e-02 -2.956873359920000155e+01 -1.446890887080000015e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 -3.950099093601281056e+05 -2.445192506055687153e-11 -7.879669253752211679e-12 -3.564528948798705824e+04 -9.400707203022384783e+04 1.704486143870338841e-11
-2.400000000000000050e-02 -3.119254585170000027e+01 -1.447048540860000066e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 -3.792095129857229767e+05 -2.382468733519623092e-11 -7.201117180634577730e-12 -3.285069879212886735e+04 -8.317144087973210844e+04 1.484935540819267974e-11
-2.299999999999999961e-02 -2.207781567079999974e+01 -1.447171881710000103e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 -3.634091166113178479e+05 -2.319744960983559031e-11 -6.552845549430909178e-12 -3.017017302263223610e+04 -7.320217890507093398e+04 1.284860778846870206e-11
-2.199999999999999872e-02 -2.020000988729999847e+01 -1.447267582320000045e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 -3.476087202369127190e+05 -2.257021188447494970e-11 -5.934854360141199562e-12 -2.760371217949716811e+04 -6.406318739058068604e+04 1.103366869522191179e-11
-2.100000000000000130e-02 -2.196889456539999941e+01 -1.447351127099999925e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 -3.318083238625075901e+05 -2.194297415911431232e-11 -5.347143612765455344e-12 -2.515131626272366339e+04 -5.571836762060179899e+04 9.395588244142762107e-12
-2.000000000000000042e-02 -2.009374442340000044e+01 -1.447410999839999946e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 -3.160079274881024612e+05 -2.131573643375367171e-11 -4.789713307303671676e-12 -2.281298527231171101e+04 -4.813162087947461259e+04 7.925416550921699727e-12
-1.899999999999999953e-02 -1.681932004389999946e+01 -1.447455754560000030e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 -3.002075311136973323e+05 -2.068849870839303110e-11 -4.262563443755849368e-12 -2.058871920826131827e+04 -4.126684845153953938e+04 6.614203731249185907e-12
-1.799999999999999864e-02 -1.678179568550000056e+01 -1.447486650559999980e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 -2.844071347392922034e+05 -2.006126098303239049e-11 -3.765694022121988418e-12 -1.847851807057248516e+04 -3.508795162113697734e+04 5.452999900815670596e-12
-1.700000000000000122e-02 -1.529731801209999986e+01 -1.447508332390000112e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 -2.686067383648871328e+05 -1.943402325767174988e-11 -3.299105042402092058e-12 -1.648238185924521167e+04 -2.955883167260734626e+04 4.432855175311619088e-12
-1.600000000000000033e-02 -1.386310049199999916e+01 -1.447522259159999900e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 -2.528063419904819748e+05 -1.880678553231110927e-11 -2.862796504596155442e-12 -1.460031057427949418e+04 -2.464338989029099685e+04 3.544819670427472851e-12
-1.499999999999999944e-02 -1.229898122610000044e+01 -1.447529624229999958e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 -2.370059456160768459e+05 -1.817954780695046866e-11 -2.456768408704181395e-12 -1.283230421567533813e+04 -2.030552755852834525e+04 2.779943501853693141e-12
-1.400000000000000029e-02 -1.155829415650000058e+01 -1.447531924099999946e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 -2.212055492416717170e+05 -1.755231008158983129e-11 -2.081020754726169516e-12 -1.117836278343273989e+04 -1.650914596165978946e+04 2.129276785280734349e-12
-1.299999999999999940e-02 -9.971274810769999775e+00 -1.447530475240000058e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 -2.054051528672665881e+05 -1.692507235622919068e-11 -1.735553542662118591e-12 -9.638486277551697640e+03 -1.321814638402571109e+04 1.583869636399049654e-12
-1.200000000000000025e-02 -9.112427873879999751e+00 -1.447525590199999977e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 -1.896047564928614884e+05 -1.629783463086855007e-11 -1.420366772512030035e-12 -8.212674698032216838e+03 -1.039643010996651356e+04 1.134772170899094860e-12
-1.099999999999999936e-02 -8.146493671509999146e+00 -1.447519026929999935e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 -1.738043601184563595e+05 -1.567059690550790946e-11 -1.135460444275903242e-12 -6.900928044874292027e+03 -8.007898423822585755e+03 7.730345044713239545e-13
-1.000000000000000021e-02 -7.313312177700000305e+00 -1.447510839320000028e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 -1.580039637440512306e+05 -1.504335918014727208e-11 -8.808345579537391202e-13 -5.703246318077927754e+03 -6.016452609934326574e+03 4.897067528061915301e-13
-8.999999999999999320e-03 -6.154511082560000013e+00 -1.447501995309999911e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 -1.422035673696461017e+05 -1.441612145478662985e-11 -6.564891135455363572e-13 -4.619629517643121289e+03 -4.385993952642122167e+03 2.758390315941519776e-13
-8.000000000000000167e-03 -5.890563099419999560e+00 -1.447493271130000008e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 -1.264031709952409874e+05 -1.378888372942599086e-11 -4.624241110512958617e-13 -3.650077643569873544e+03 -3.080423736286374606e+03 1.224814565256607984e-13
-7.000000000000000146e-03 -4.756961135730000123e+00 -1.447484473909999942e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 -1.106027746208358585e+05 -1.316164600406535025e-11 -2.986395504710172299e-13 -2.794590695858184972e+03 -2.063643245207473683e+03 2.068414329117157548e-14
-6.000000000000000125e-03 -3.852908208680000168e+00 -1.447476861740000080e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 -9.480237824643074418e+04 -1.253440827870470964e-11 -1.651354318047002599e-13 -2.053168674508054210e+03 -1.299553763745814194e+03 -3.850279241886064404e-14
-5.000000000000000104e-03 -3.356366159619999845e+00 -1.447469706699999981e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 -7.900198187202561530e+04 -1.190717055334406903e-11 -6.191175505234540590e-14 -1.425811579519481938e+03 -7.520565762417908218e+02 -6.402923491398129267e-14
-4.000000000000000083e-03 -2.845227203819999939e+00 -1.447463524930000072e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 -6.320158549762049370e+04 -1.127993282798343003e-11 1.103147978604753390e-14 -9.125194108924683860e+02 -3.850529670357968257e+02 -6.484506850373572720e-14
-3.000000000000000062e-03 -1.880989955170000005e+00 -1.447458428069999907e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 -4.740118912321537209e+04 -1.065269510262278943e-11 5.369427271047855953e-14 -5.132921686270135524e+02 -1.624442204682267743e+02 -4.990017749766945589e-14
-2.000000000000000042e-03 -1.211487272829999906e+00 -1.447454982469999930e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 -3.160079274881024685e+04 -1.002545737726214882e-11 6.607662372094763314e-14 -2.281298527231170965e+02 -4.813162087947460321e+01 -2.814444620532779765e-14
-1.000000000000000021e-03 -7.074554608799999977e-01 -1.447452536700000055e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 -1.580039637440512342e+04 -9.398219651901509821e-12 4.817853281745477996e-14 -5.703246318077927413e+01 -6.016452609934325402e+00 -8.527758936256181855e-15
0.000000000000000000e+00 0.000000000000000000e+00 -1.447451801900000079e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 3.481868823047110438e-28 -8.770981926540869211e-12 4.665440784917298408e-45 1.757448458275075000e-29 2.551566393814966850e-61 1.029155981811916613e-45
