y(m)  Ex_total(V/m)  Ey_total(V/m)  Ex_dipole(V/m)  Ey_dipole(V/m)  Ex_quadrupole(V/m)  Ey_quadrupole(V/m)  Ex_sextupole(V/m)  Ey_sextupole(V/m)  Ex_octupole(V/m)  Ey_octupole(V/m)
-3.000000000000000062e-03 0.000000000000000000e+00 -1.447443885950000025e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 -1.881713176081920214e-12 4.740118912321537209e+04 1.362619886128286895e-13 5.132921686270135524e+02 -4.027447939295429488e-14 -1.624442204682267743e+02
-2.000000000000000042e-03 0.000000000000000000e+00 -1.447447907859999919e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 -1.254475450721280210e-12 3.160079274881024685e+04 6.056088382792386619e-14 2.281298527231170965e+02 -1.193317907939386585e-14 -4.813162087947460321e+01
-1.000000000000000021e-03 0.000000000000000000e+00 -1.447450487949999981e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 -6.272377253606401049e-13 1.580039637440512342e+04 1.514022095698096655e-14 5.703246318077927413e+01 -1.491647384924233231e-15 -6.016452609934325402e+00
5.551115123129999641e-19 0.000000000000000000e+00 -1.447451801900000079e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 3.481868823047110438e-28 -8.770981926540869211e-12 4.665440784917298408e-45 1.757448458275075000e-29 2.551566393814966850e-61 1.029155981811916613e-45
1.000000000000000021e-03 0.000000000000000000e+00 -1.447451485140000004e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 6.272377253606401049e-13 -1.580039637440512342e+04 1.514022095698096655e-14 5.703246318077927413e+01 1.491647384924233231e-15 6.016452609934325402e+00
2.000000000000000042e-03 0.000000000000000000e+00 -1.447449651180000044e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 1.254475450721280210e-12 -3.160079274881024685e+04 6.056088382792386619e-14 2.281298527231170965e+02 1.193317907939386585e-14 4.813162087947460321e+01
3.000000000000000062e-03 0.000000000000000000e+00 -1.447446307299999986e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 1.881713176081920214e-12 -4.740118912321537209e+04 1.362619886128286895e-13 5.132921686270135524e+02 4.027447939295429488e-14 1.624442204682267743e+02
4.000000000000000083e-03 0.000000000000000000e+00 -1.447441432899999898e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 2.508950901442560420e-12 -6.320158549762049370e+04 2.422435353116954648e-13 9.125194108924683860e+02 9.546543263515092680e-14 3.850529670357968257e+02
5.000000000000000104e-03 0.000000000000000000e+00 -1.447434829840000020e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 3.136188626803200625e-12 -7.900198187202561530e+04 3.785055239245241542e-13 1.425811579519481938e+03 1.864559231155291752e-13 7.520565762417908218e+02
6.000000000000000125e-03 0.000000000000000000e+00 -1.447426383369999938e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 3.763426352163840427e-12 -9.480237824643074418e+04 5.450479544513147578e-13 2.053168674508054210e+03 3.221958351436343590e-13 1.299553763745814194e+03
