y(m)  Ex_total(V/m)  Ey_total(V/m)  Ex_dipole(V/m)  Ey_dipole(V/m)  Ex_quadrupole(V/m)  Ey_quadrupole(V/m)  Ex_sextupole(V/m)  Ey_sextupole(V/m)  Ex_octupole(V/m)  Ey_octupole(V/m)
-2.999999999999999889e-02 0.000000000000000000e+00 -1.445089193369999994e+06 0.000000000000000000e+00 -1.439757801261902321e+06 -1.746229827404022217e-10 -2.197440942283719778e+00 2.619344741106033325e-10 -1.011802637764284736e+04 1.964508555829524580e-09 -2.756534824141999351e+01
-2.900000000000000147e-02 0.000000000000000000e+00 -1.444938747979999986e+06 0.000000000000000000e+00 -1.439757801261902321e+06 -1.688022166490555016e-10 -2.124192910874262541e+00 2.447632141411304515e-10 -9.454733537330706895e+03 1.774533302523195644e-09 -2.489967697259230661e+01
-2.800000000000000058e-02 0.000000000000000000e+00 -1.444818455589999910e+06 0.000000000000000000e+00 -1.439757801261902321e+06 -1.629814505577087557e-10 -2.050944879464805304e+00 2.281740307807922580e-10 -8.813925200079993374e+03 1.597218215465545522e-09 -2.241164905909821314e+01
-2.699999999999999969e-02 0.000000000000000000e+00 -1.444670811230000108e+06 0.000000000000000000e+00 -1.439757801261902321e+06 -1.571606844663620099e-10 -1.977696848055347845e+00 2.121669240295886745e-10 -8.195601365890706802e+03 1.432126737199723191e-09 -2.009513886799517479e+01
-2.599999999999999881e-02 0.000000000000000000e+00 -1.444494797670000000e+06 0.000000000000000000e+00 -1.439757801261902321e+06 -1.513399183750152640e-10 -1.904448816645890386e+00 1.967418938875198302e-10 -7.599762034762849908e+03 1.278822310268878664e-09 -1.794402076634066034e+01
-2.500000000000000139e-02 0.000000000000000000e+00 -1.444303884929999942e+06 0.000000000000000000e+00 -1.439757801261902321e+06 -1.455191522836685181e-10 -1.831200785236433148e+00 1.818989403545856734e-10 -7.026407206696423600e+03 1.136868377216160297e-09 -1.595216912119212971e+01
-2.400000000000000050e-02 0.000000000000000000e+00 -1.444105061519999988e+06 0.000000000000000000e+00 -1.439757801261902321e+06 -1.396983861923217722e-10 -1.757952753826975911e+00 1.676380634307861266e-10 -6.475536881691422423e+03 1.005828380584716656e-09 -1.411345829960703746e+01
-2.299999999999999961e-02 0.000000000000000000e+00 -1.443882182319999905e+06 0.000000000000000000e+00 -1.439757801261902321e+06 -1.338776201009750263e-10 -1.684704722417518452e+00 1.539592631161212673e-10 -5.947151059747850923e+03 8.852657629176971319e-10 -1.242176266864285239e+01
-2.199999999999999872e-02 0.000000000000000000e+00 -1.443649122919999994e+06 0.000000000000000000e+00 -1.439757801261902321e+06 -1.280568540096282804e-10 -1.611456691008060993e+00 1.408625394105911214e-10 -5.441249740865709100e+03 7.747439667582509089e-10 -1.087095659535703973e+01
-2.100000000000000130e-02 0.000000000000000000e+00 -1.443414742069999920e+06 0.000000000000000000e+00 -1.439757801261902321e+06 -1.222360879182815603e-10 -1.538208659598603978e+00 1.283478923141956371e-10 -4.957832925044996045e+03 6.738264346495270688e-10 -9.454914446807059392e+00
-2.000000000000000042e-02 0.000000000000000000e+00 -1.443180698120000074e+06 0.000000000000000000e+00 -1.439757801261902321e+06 -1.164153218269348145e-10 -1.464960628189146519e+00 1.164153218269348145e-10 -4.496900612285709940e+03 5.820766091346740723e-10 -8.167510590050369501e+00
-1.899999999999999953e-02 0.000000000000000000e+00 -1.442929391409999924e+06 0.000000000000000000e+00 -1.439757801261902321e+06 -1.105945557355880686e-10 -1.391712596779689060e+00 1.050648279488086664e-10 -4.058452802587853512e+03 4.990579327568411041e-10 -7.002619392144434407e+00
-1.799999999999999864e-02 0.000000000000000000e+00 -1.442687050009999890e+06 0.000000000000000000e+00 -1.439757801261902321e+06 -1.047737896442413227e-10 -1.318464565370231822e+00 9.429641067981719299e-11 -3.642489495951424942e+03 4.243338480591771940e-10 -5.954115220146717569e+00
-1.700000000000000122e-02 0.000000000000000000e+00 -1.442438140700000105e+06 0.000000000000000000e+00 -1.439757801261902321e+06 -9.895302355289460262e-11 -1.245216533960774585e+00 8.411007001996040706e-11 -3.249010692376426050e+03 3.574677975848317332e-10 -5.015872441114683333e+00
-1.600000000000000033e-02 0.000000000000000000e+00 -1.442181068669999950e+06 0.000000000000000000e+00 -1.439757801261902321e+06 -9.313225746154785673e-11 -1.171968502551317348e+00 7.450580596923828280e-11 -2.878016391862854562e+03 2.980232238769530795e-10 -4.181765422105788943e+00
-1.499999999999999944e-02 0.000000000000000000e+00 -1.441928974510000087e+06 0.000000000000000000e+00 -1.439757801261902321e+06 -8.731149137020111084e-11 -1.098720471141859889e+00 6.548361852765083313e-11 -2.529506594410711841e+03 2.455635694786905725e-10 -3.445668530177499189e+00
-1.400000000000000029e-02 0.000000000000000000e+00 -1.441701986520000035e+06 0.000000000000000000e+00 -1.439757801261902321e+06 -8.149072527885437787e-11 -1.025472439732402652e+00 5.704350769519806451e-11 -2.203481300019998343e+03 1.996522769331931902e-10 -2.801456132387276643e+00
-1.299999999999999940e-02 0.000000000000000000e+00 -1.441449298870000057e+06 0.000000000000000000e+00 -1.439757801261902321e+06 -7.566995918750763198e-11 -9.522244083229451928e-01 4.918547347187995756e-11 -1.899940508690712477e+03 1.598527887836098330e-10 -2.243002595792582543e+00
-1.200000000000000025e-02 0.000000000000000000e+00 -1.441242918749999953e+06 0.000000000000000000e+00 -1.439757801261902321e+06 -6.984919309616088609e-11 -8.789763769134879556e-01 4.190951585769653165e-11 -1.618884220422855606e+03 1.257285475730895820e-10 -1.764182287450879683e+00
-1.099999999999999936e-02 0.000000000000000000e+00 -1.441009472839999944e+06 0.000000000000000000e+00 -1.439757801261902321e+06 -6.402842700481414019e-11 -8.057283455040304965e-01 3.521563485264778034e-11 -1.360312435216427275e+03 9.684299584478136362e-11 -1.358869574419629966e+00
-1.000000000000000021e-02 0.000000000000000000e+00 -1.440810340409999946e+06 0.000000000000000000e+00 -1.439757801261902321e+06 -5.820766091346740723e-11 -7.324803140945732594e-01 2.910383045673370361e-11 -1.124225153071427485e+03 7.275957614183425903e-11 -1.020938823756296188e+00
-8.999999999999999320e-03 0.000000000000000000e+00 -1.440618800280000083e+06 0.000000000000000000e+00 -1.439757801261902321e+06 -5.238689482212066133e-11 -6.592322826851159112e-01 2.357410266995429825e-11 -9.106223739878562355e+02 5.304173100739714924e-11 -7.442644025183396961e-01
-8.000000000000000167e-03 0.000000000000000000e+00 -1.440445705820000032e+06 0.000000000000000000e+00 -1.439757801261902321e+06 -4.656612873077392837e-11 -5.859842512756586741e-01 1.862645149230957070e-11 -7.195040979657136404e+02 3.725290298461913494e-11 -5.227206777632236179e-01
-7.000000000000000146e-03 0.000000000000000000e+00 -1.440294561969999922e+06 0.000000000000000000e+00 -1.439757801261902321e+06 -4.074536263942718894e-11 -5.127362198662013260e-01 1.426087692379951613e-11 -5.508703250049995859e+02 2.495653461664914878e-11 -3.501820165484095804e-01
-6.000000000000000125e-03 0.000000000000000000e+00 -1.440158349239999894e+06 0.000000000000000000e+00 -1.439757801261902321e+06 -3.492459654808044304e-11 -4.394881884567439778e-01 1.047737896442413291e-11 -4.047210551057139014e+02 1.571606844663619775e-11 -2.205227859313599603e-01
-5.000000000000000104e-03 0.000000000000000000e+00 -1.440036288799999980e+06 0.000000000000000000e+00 -1.439757801261902321e+06 -2.910383045673370361e-11 -3.662401570472866297e-01 7.275957614183425903e-12 -2.810562882678568712e+02 9.094947017729282379e-12 -1.276173529695370235e-01
-4.000000000000000083e-03 0.000000000000000000e+00 -1.439936445049999980e+06 0.000000000000000000e+00 -1.439757801261902321e+06 -2.328306436538696418e-11 -2.929921256378293370e-01 4.656612873077392675e-12 -1.798760244914284101e+02 4.656612873077391867e-12 -6.534008472040295223e-02
-3.000000000000000062e-03 0.000000000000000000e+00 -1.439857735090000089e+06 0.000000000000000000e+00 -1.439757801261902321e+06 -1.746229827404022152e-11 -2.197440942283719889e-01 2.619344741106033228e-12 -1.011802637764284754e+02 1.964508555829524719e-12 -2.756534824141999504e-02
-2.000000000000000042e-03 0.000000000000000000e+00 -1.439801634790000040e+06 0.000000000000000000e+00 -1.439757801261902321e+06 -1.164153218269348209e-11 -1.464960628189146685e-01 1.164153218269348169e-12 -4.496900612285710253e+01 5.820766091346739834e-13 -8.167510590050369029e-03
-1.000000000000000021e-03 0.000000000000000000e+00 -1.439770808100000024e+06 0.000000000000000000e+00 -1.439757801261902321e+06 -5.820766091346741046e-12 -7.324803140945733426e-02 2.910383045673370422e-13 -1.124225153071427563e+01 7.275957614183424793e-14 -1.020938823756296129e-03
0.000000000000000000e+00 0.000000000000000000e+00 -1.439757550839999923e+06 0.000000000000000000e+00 -1.439757801261902321e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
1.000000000000000021e-03 0.000000000000000000e+00 -1.439771116099999985e+06 0.000000000000000000e+00 -1.439757801261902321e+06 5.820766091346741046e-12 7.324803140945733426e-02 2.910383045673370422e-13 -1.124225153071427563e+01 -7.275957614183424793e-14 1.020938823756296129e-03
2.000000000000000042e-03 0.000000000000000000e+00 -1.439804282439999981e+06 0.000000000000000000e+00 -1.439757801261902321e+06 1.164153218269348209e-11 1.464960628189146685e-01 1.164153218269348169e-12 -4.496900612285710253e+01 -5.820766091346739834e-13 8.167510590050369029e-03
3.000000000000000062e-03 0.000000000000000000e+00 -1.439855347270000027e+06 0.000000000000000000e+00 -1.439757801261902321e+06 1.746229827404022152e-11 2.197440942283719889e-01 2.619344741106033228e-12 -1.011802637764284754e+02 -1.964508555829524719e-12 2.756534824141999504e-02
4.000000000000000083e-03 0.000000000000000000e+00 -1.439933061720000114e+06 0.000000000000000000e+00 -1.439757801261902321e+06 2.328306436538696418e-11 2.929921256378293370e-01 4.656612873077392675e-12 -1.798760244914284101e+02 -4.656612873077391867e-12 6.534008472040295223e-02
5.000000000000000104e-03 0.000000000000000000e+00 -1.440035289339999901e+06 0.000000000000000000e+00 -1.439757801261902321e+06 2.910383045673370361e-11 3.662401570472866297e-01 7.275957614183425903e-12 -2.810562882678568712e+02 -9.094947017729282379e-12 1.276173529695370235e-01
6.000000000000000125e-03 0.000000000000000000e+00 -1.440148863540000049e+06 0.000000000000000000e+00 -1.439757801261902321e+06 3.492459654808044304e-11 4.394881884567439778e-01 1.047737896442413291e-11 -4.047210551057139014e+02 -1.571606844663619775e-11 2.205227859313599603e-01
7.000000000000000146e-03 0.000000000000000000e+00 -1.440289419250000035e+06 0.000000000000000000e+00 -1.439757801261902321e+06 4.074536263942718894e-11 5.127362198662013260e-01 1.426087692379951613e-11 -5.508703250049995859e+02 -2.495653461664914878e-11 3.501820165484095804e-01
8.000000000000000167e-03 0.000000000000000000e+00 -1.440449736749999924e+06 0.000000000000000000e+00 -1.439757801261902321e+06 4.656612873077392837e-11 5.859842512756586741e-01 1.862645149230957070e-11 -7.195040979657136404e+02 -3.725290298461913494e-11 5.227206777632236179e-01
8.999999999999999320e-03 0.000000000000000000e+00 -1.440620936960000079e+06 0.000000000000000000e+00 -1.439757801261902321e+06 5.238689482212066133e-11 6.592322826851159112e-01 2.357410266995429825e-11 -9.106223739878562355e+02 -5.304173100739714924e-11 7.442644025183396961e-01
1.000000000000000021e-02 0.000000000000000000e+00 -1.440809052140000043e+06 0.000000000000000000e+00 -1.439757801261902321e+06 5.820766091346740723e-11 7.324803140945732594e-01 2.910383045673370361e-11 -1.124225153071427485e+03 -7.275957614183425903e-11 1.020938823756296188e+00
1.099999999999999936e-02 0.000000000000000000e+00 -1.441024887360000052e+06 0.000000000000000000e+00 -1.439757801261902321e+06 6.402842700481414019e-11 8.057283455040304965e-01 3.521563485264778034e-11 -1.360312435216427275e+03 -9.684299584478136362e-11 1.358869574419629966e+00
1.200000000000000025e-02 0.000000000000000000e+00 -1.441215976299999980e+06 0.000000000000000000e+00 -1.439757801261902321e+06 6.984919309616088609e-11 8.789763769134879556e-01 4.190951585769653165e-11 -1.618884220422855606e+03 -1.257285475730895820e-10 1.764182287450879683e+00
1.299999999999999940e-02 0.000000000000000000e+00 -1.441451627400000114e+06 0.000000000000000000e+00 -1.439757801261902321e+06 7.566995918750763198e-11 9.522244083229451928e-01 4.918547347187995756e-11 -1.899940508690712477e+03 -1.598527887836098330e-10 2.243002595792582543e+00
