0.06258490566037737, -0.030018867924528306, 4930369.773006926
x  y   Ex  Ey
-3.162893081761006253e-02    -3.164150943396226712e-02    -1.505816794921162946e+05    -1.414747929035795154e+06
-3.028301886792451880e-02    -3.164150943396226712e-02    -1.008592283984424284e+05    -1.449157620455417782e+06
-2.893710691823898895e-02    -3.164150943396226712e-02    -9.743756228738198115e+04    -1.485465030200799229e+06
-2.759119496855345910e-02    -3.164150943396226712e-02    -7.250938050012062013e+04    -1.520358457268799422e+06
-2.624528301886791537e-02    -3.164150943396226712e-02    -3.310480253814448952e+04    -1.528769032763893483e+06
-2.489937106918238552e-02    -3.164150943396226712e-02    -3.394877525538020564e+04    -1.564689468795344234e+06
-2.355345911949685567e-02    -3.164150943396226712e-02    -2.153864031435438301e+04    -1.577649638972044690e+06
-2.220754716981131194e-02    -3.164150943396226712e-02    -8.387367619595152064e+03    -1.601694408381968038e+06
-2.086163522012578209e-02    -3.164150943396226712e-02    -8.387367619595152064e+03    -1.601694408381968038e+06
-1.951572327044025223e-02    -3.164150943396226712e-02    1.297463401860351269e+03    -1.619906033823111793e+06
-1.816981132075470851e-02    -3.164150943396226712e-02    9.622738317891629777e+03    -1.633182261895129224e+06
-1.682389937106917865e-02    -3.164150943396226712e-02    1.011291639072964426e+04    -1.641555205711083720e+06
-1.547798742138364880e-02    -3.164150943396226712e-02    1.755284776923800746e+04    -1.645781190484372200e+06
-1.413207547169810507e-02    -3.164150943396226712e-02    2.390780932300233690e+04    -1.658947603287106380e+06
-1.278616352201257522e-02    -3.164150943396226712e-02    2.274264337448670994e+04    -1.666772254882287933e+06
-1.144025157232704537e-02    -3.164150943396226712e-02    2.819267413223298718e+04    -1.672277536613445496e+06
-1.009433962264150164e-02    -3.164150943396226712e-02    2.529926646397345394e+04    -1.679215081957007991e+06
-8.748427672955971790e-03    -3.164150943396226712e-02    2.955504128878763368e+04    -1.684645714333153563e+06
-7.402515723270441939e-03    -3.164150943396226712e-02    2.646482556055761597e+04    -1.689900832966172835e+06
-6.056603773584898209e-03    -3.164150943396226712e-02    2.617733108250769510e+04    -1.699968212599475868e+06
-4.710691823899368358e-03    -3.164150943396226712e-02    2.283001427530552610e+04    -1.710075097516883863e+06
-3.364779874213838506e-03    -3.164150943396226712e-02    2.283001427530552610e+04    -1.710075097516883863e+06
-2.018867924528294777e-03    -3.164150943396226712e-02    1.360222679724272712e+04    -1.723758800868886756e+06
-6.729559748427649257e-04    -3.164150943396226712e-02    3.105198450167235478e+03    -1.729884541061620461e+06
6.729559748427788035e-04    -3.164150943396226712e-02    -5.000869499018935130e+03    -1.723903307784851408e+06
2.018867924528308655e-03    -3.164150943396226712e-02    -1.138724744035086769e+04    -1.721964400125707500e+06
3.364779874213838506e-03    -3.164150943396226712e-02    -2.123894802157913000e+04    -1.712449344693236751e+06
4.710691823899382236e-03    -3.164150943396226712e-02    -2.703730951520002054e+04    -1.708713310565008083e+06
6.056603773584912087e-03    -3.164150943396226712e-02    -2.510266530267194321e+04    -1.701691519351306371e+06
7.402515723270441939e-03    -3.164150943396226712e-02    -2.600191766697806088e+04    -1.690918730265397578e+06
8.748427672955985668e-03    -3.164150943396226712e-02    -2.932272013689804226e+04    -1.685323401793806814e+06
1.009433962264151552e-02    -3.164150943396226712e-02    -2.515552558016085823e+04    -1.680040905294475378e+06
1.144025157232704537e-02    -3.164150943396226712e-02    -2.799935227568549453e+04    -1.673651300740770996e+06
1.278616352201258910e-02    -3.164150943396226712e-02    -2.280910985108583191e+04    -1.667901412376161898e+06
1.413207547169811895e-02    -3.164150943396226712e-02    -2.093078211053763516e+04    -1.654093851971955970e+06
1.547798742138364880e-02    -3.164150943396226712e-02    -2.093078211053763516e+04    -1.654093851971955970e+06
1.682389937106919253e-02    -3.164150943396226712e-02    -1.843633082665532856e+04    -1.639051335998077178e+06
1.816981132075472238e-02    -3.164150943396226712e-02    -3.661091349124784756e+03    -1.626441522311594104e+06
1.951572327044025223e-02    -3.164150943396226712e-02    -3.661091349124784756e+03    -1.626441522311594104e+06
2.086163522012578209e-02    -3.164150943396226712e-02    -4.103547830127104135e+03    -1.603142238326669903e+06
